_H:	|batch	|epoch	$train_mode	%avg_sse	%cnt_err	%avg_norm_err	%avg_cos_err	%avg_cos_err_prv	%avg_cos_err_vs_prv	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr	%V1m_Ctxt_Fm_V1m_netrel	%V1m_Fm_V2m_netrel	%V1m_Ctxt_Fm_V2m_netrel	%V2m_Fm_V1m_netrel	%V2m_Ctxt_Fm_V1m_netrel	%V2m_Ctxt_Fm_V2m_netrel	%V1m_netmax	%V2m_netmax
_D:	0	1	"TRAIN"	36.6663	380	0.119591	0.288324	0.623119	-0.334794	0	50	61.78	84.37	0	1	0	1	0	0	0.696336	0.591045
_D:	0	2	"TRAIN"	30.3094	380	0.110467	0.566135	0.625126	-0.0589913	0	50	63.48	87.33	0	1	0	1	0	0	0.887715	0.676477
_D:	0	3	"TRAIN"	32.9962	380	0.121546	0.551033	0.621538	-0.0705046	0	50	62.89	86.51	0	1	0	1	0	0	0.843235	0.709226
_D:	0	4	"TRAIN"	36.1386	380	0.123835	0.548639	0.622962	-0.0743229	0	50	65.33	88.57	0	1	0	1	0	0	1.00093	0.765593
_D:	0	5	"TRAIN"	38.5672	380	0.132378	0.511565	0.628725	-0.11716	0	50	61.35	83.51	0	1	0	1	0	0	0.993877	0.754279
_D:	0	6	"TRAIN"	39.3678	380	0.132557	0.52116	0.643439	-0.122279	0	50	61.01	82.58	0	1	0	1	0	0	1.06917	0.807363
_D:	0	7	"TRAIN"	37.0481	380	0.126366	0.539423	0.62035	-0.0809273	0	50	61.04	82.39	0	1	0	1	0	0	1.09014	0.816891
_D:	0	8	"TRAIN"	35.8548	380	0.121756	0.559228	0.621591	-0.062362	0	50	61.27	83.06	0	1	0	1	0	0	1.13245	0.844545
_D:	0	9	"TRAIN"	35.9931	380	0.123808	0.560119	0.635344	-0.0752251	0	50	61.05	82.03	0	1	0	1	0	0	1.12093	0.837379
_D:	0	10	"TRAIN"	36.2981	380	0.123099	0.55716	0.620634	-0.0634747	0	50	60.91	82.28	0	1	0	1	0	0	1.1581	0.837446
_D:	0	11	"TRAIN"	37.769	380	0.12828	0.543303	0.611919	-0.0686153	0	50	60.77	82.44	0	1	0	1	0	0	1.13566	0.84537
_D:	0	12	"TRAIN"	35.4271	380	0.119723	0.569369	0.625312	-0.0559429	0	50	60.9	82.1	0	1	0	1	0	0	1.16224	0.857162
_D:	0	13	"TRAIN"	33.9131	380	0.116648	0.577804	0.617886	-0.0400822	0	50	60.74	82.03	0	1	0	1	0	0	1.17737	0.861061
_D:	0	14	"TRAIN"	33.4587	380	0.116552	0.588584	0.618682	-0.0300982	0	50	61.15	82.24	0	1	0	1	0	0	1.13642	0.845813
_D:	0	15	"TRAIN"	34.771	380	0.121048	0.574888	0.616702	-0.0418132	0	50	60.96	82.54	0	1	0	1	0	0	1.15963	0.83951
_D:	0	16	"TRAIN"	33.8476	380	0.115666	0.582046	0.60723	-0.0251842	0	50	61.21	82.5	0	1	0	1	0	0	1.17905	0.835662
_D:	0	17	"TRAIN"	34.1542	380	0.117311	0.58906	0.621234	-0.0321738	0	50	61.92	82.82	0	1	0	1	0	0	1.18722	0.847303
