_H:	|batch	|epoch	$train_mode	%avg_sse	%cnt_err	%avg_norm_err	%avg_cos_err	%avg_ext_rew	%avg_cycles	%epoch_time_tot	%epoch_time_usr	%V1m_Ctxt_Fm_V1m_netrel	%V1m_Fm_V2m_netrel	%V1m_Ctxt_Fm_V2m_netrel	%V2m_Fm_V1m_netrel	%V2m_Ctxt_Fm_V1m_netrel	%V2m_Ctxt_Fm_V2m_netrel	%V1m_netmax	%V2m_netmax
_D:	0	1	"TEST"	36.6663	0	0.119591	0.288324	0	50	0.02	0.02	0	1	0	1	0	0	0.696336	0.591045
_D:	0	2	"TEST"	30.3094	0	0.110467	0.566135	0	50	0.02	0.02	0	1	0	1	0	0	0.887715	0.676477
_D:	0	3	"TEST"	32.9962	0	0.121546	0.551033	0	50	0.02	0.02	0	1	0	1	0	0	0.843235	0.709226
_D:	0	4	"TEST"	36.1386	0	0.123835	0.548639	0	50	0.02	0.02	0	1	0	1	0	0	1.00093	0.765593
_D:	0	5	"TEST"	38.5672	0	0.132378	0.511565	0	50	0.02	0.02	0	1	0	1	0	0	0.993877	0.754279
_D:	0	6	"TEST"	39.3678	0	0.132557	0.52116	0	50	0.02	0.02	0	1	0	1	0	0	1.06917	0.807363
_D:	0	7	"TEST"	37.0481	0	0.126366	0.539423	0	50	0.02	0.02	0	1	0	1	0	0	1.09014	0.816891
_D:	0	8	"TEST"	35.8548	0	0.121756	0.559228	0	50	0.02	0.02	0	1	0	1	0	0	1.13245	0.844545
_D:	0	9	"TEST"	35.9931	0	0.123808	0.560119	0	50	0.02	0.02	0	1	0	1	0	0	1.12093	0.837379
_D:	0	10	"TEST"	36.2981	0	0.123099	0.55716	0	50	0.02	0.02	0	1	0	1	0	0	1.1581	0.837446
_D:	0	11	"TEST"	37.769	0	0.12828	0.543303	0	50	0.02	0.01	0	1	0	1	0	0	1.13566	0.84537
_D:	0	12	"TEST"	35.4271	0	0.119723	0.569369	0	50	0.01	0.01	0	1	0	1	0	0	1.16224	0.857162
_D:	0	13	"TEST"	33.9131	0	0.116648	0.577804	0	50	0.02	0.02	0	1	0	1	0	0	1.17737	0.861061
